1000	(969, 647, 960, 967)	[13760]
1000	(969, 647, 803, 803)	[10238]
1000	(416, 410)	[5291]
1000	(804, 714, 684, 391)	[7587]
1000	(981, 628, 592, 96)	[3903]
1000	(804, 789, 416)	[10497]
1000	(804,)	[8847]
1000	(488, 497)	[4629]
1000	(985, 391, 979)	[2495]
1000	(804, 963, 954)	[10691]
1000	(487,)	[433, 433]
1000	(487, 475)	[10828, 14394]
1000	(985,)	[8624, 8624, 8624]
1000	(416, 411)	[12229]
1000	(493, 979, 800)	[13313]
1000	(979, 798)	[13313]
1000	(969, 647, 793, 770)	[6873]
1000	(488,)	[7633, 7633]
1000	(488, 500)	[10820]
1000	(981, 781, 800, 675)	[10724]
1000	(487, 475, 985, 1003)	[9028]
1000	(804, 790, 804, 883)	[10364]
1000	(979,)	[12002, 12002, 12002, 12002]
1000	(985, 1003, 493, 484)	[2599, 8738]
1000	(981,)	[8847, 8847]
1000	(416, 411, 796)	[4386]
1000	(488, 633, 564)	[12658]
1000	(493, 985)	[8624]
1000	(484, 509, 493, 804)	[2495]
1000	(487, 475, 483)	[2960]
1000	(969,)	[10870, 10870]
1000	(-1,)	[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]
1000	(493, 969, 416)	[10496]
1000	(487, 476)	[4629]
1000	(493, 804, 997)	[8353]
1000	(484,)	[2599]
1000	(981, 416)	[10497]
1000	(979, 1232)	[12106]
1000	(981, 783, 998)	[11853]
1000	(804, 804)	[7494]
1000	(981, 733)	[7174]
1000	(981, 116, 785, 831)	[12599]
1000	(484, 509, 513, 647)	[4677]
1000	(487, 479)	[4843, 8240]
1000	(979, 200, 201)	[12596]
1000	(493,)	[1000, 1000, 1000, 1000, 1000]
1000	(981, 813)	[4574]
1001	(513, 647, 115, 50)	[8048]
1001	(416,)	[10497]
1001	(487, 477, 496)	[968]
1001	(513, 647, 791, 674)	[13254]
1001	(-1,)	[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]
1001	(804,)	[6877, 10724]
1001	(971, 389, 1001, 1042)	[5403]
1001	(381, 647, 816)	[10870]
1001	(374, 647)	[9898, 7480]
1001	(980, 887, 416, 411)	[8359]
1001	(985,)	[8984]
1001	(416, 410)	[7302]
1001	(484, 509)	[8954]
1001	(416, 411)	[7884, 8839]
1001	(381, 647, 803, 960)	[11428]
1001	(481,)	[7, 80]
1001	(513,)	[10870, 10870]
1001	(488,)	[6360, 7935, 7935]
1001	(493, 487)	[1230]
1001	(493, 513, 416, 411)	[3227]
1001	(513, 416)	[10496]
1001	(488, 496)	[11400]
1001	(374, 416, 411)	[2594]
1001	(981,)	[6877, 6877]
1001	(491, 1041)	[4601]
1001	(381, 416, 411, 910)	[4280]
1001	(488, 496, 416, 411)	[10284]
1001	(381,)	[10870]
1001	(374, 416, 411, 573)	[5700]
1001	(493, 374, 416, 411)	[6105]
1001	(484,)	[8738]
1001	(493, 971, 990, 113)	[109]
1001	(484, 509, 804, 824)	[7885]
1001	(804, 958, 946, 951)	[4799]
1001	(980, 818, 416)	[10496]
1001	(804, 783, 960)	[2662]
1001	(981, 115, 729, 1003)	[947]
1001	(374,)	[10870, 10870, 10870]
1001	(484, 509, 481)	[7]
1001	(971, 977)	[13030]
1001	(971, 389, 1001, 277)	[3238]
1001	(804, 1137)	[683]
1001	(804, 822, 707)	[8984]
1001	(493, 484, 509)	[9088]
1001	(491,)	[12853]
1001	(971,)	[7033, 7033]
1001	(493,)	[1001]
1002	(909, 918)	[13840]
1002	(416,)	[10497]
1002	(1046, 1332, 1331, 1332)	[7854]
1002	(1035, 520, 1251)	[10049]
1002	(1030, 491, 1035, 873)	[5556]
1002	(1029, 475, 490)	[10941]
1002	(1039, 416)	[10496]
1002	(-1,)	[1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002]
1002	(922, 936)	[10060]
1002	(1029, 479, 1042, 228)	[7964]
1002	(922, 932, 926, 936)	[3018]
1002	(910, 388, 909)	[571]
1002	(760, 416)	[10497]
1002	(760, 911, 810)	[12510]
